選手名,チーム,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,MVP
川崎 宗則,ソフトバンク,144,655,603,161,1,37,31,36,3,84,9,5,0
栗山 巧,西武,144,653,557,171,3,60,6,73,8,90,9,17,0
坂口 智隆,オリックス,144,651,590,175,3,45,5,54,4,77,2,11,0
青木 宣親,ヤクルト,144,643,583,170,4,44,8,51,9,55,0,6,0
岡田 幸文,ロッテ,144,635,577,154,0,35,41,28,9,66,20,5,0
中島 裕之,西武,144,633,566,168,16,100,21,44,12,93,0,11,0
本多 雄一,ソフトバンク,144,633,522,159,0,43,60,53,1,78,53,4,0
坂本 勇人,巨人,144,624,568,149,16,59,8,37,6,91,10,3,0
中村 剛也,西武,144,622,525,141,48,116,4,79,12,134,0,15,0
田中 浩康,ヤクルト,142,619,511,129,1,40,2,40,3,63,62,9,0
平野 恵一,阪神,142,615,542,160,1,29,6,33,5,67,34,6,0
マートン,阪神,142,606,579,180,13,60,6,24,1,76,1,13,0
陽 岱鋼,日本ハム,141,603,537,147,6,36,19,22,5,134,38,5,0
新井 貴浩,阪神,144,602,550,148,17,93,5,41,4,106,0,20,0
東出 輝裕,広島,137,601,543,151,0,27,8,35,3,71,18,7,0
井口 資仁,ロッテ,140,597,509,135,9,73,1,72,9,96,0,11,0
栗原 健太,広島,144,596,536,157,17,87,0,40,12,84,0,11,0
森野 将彦,中日,142,595,508,118,10,45,0,64,5,89,13,9,0
荒木 雅博,中日,135,593,543,143,2,24,18,36,3,73,10,4,0
村田 修一,横浜,144,592,530,134,20,70,0,44,12,103,0,19,0
鳥谷 敬,阪神,144,590,500,150,5,51,16,78,4,72,3,10,0
畠山 和洋,ヤクルト,142,583,494,133,23,85,1,78,6,94,1,10,0
松田 宣浩,ソフトバンク,144,582,525,148,25,83,27,41,10,128,3,11,0
長野 久義,巨人,140,578,519,164,17,69,19,48,6,85,3,11,0
糸井 嘉男,日本ハム,137,578,489,156,11,54,31,59,19,91,9,5,0
フェルナンデス,西武,142,577,529,137,17,81,3,39,2,84,0,19,0
中田 翔,日本ハム,143,572,527,125,18,91,4,31,6,133,0,12,0
松井 稼頭央,楽天,139,572,538,140,9,48,15,26,1,94,4,8,0
聖澤 諒,楽天,144,559,496,143,2,42,52,31,8,109,21,5,0
バレンティン,ヤクルト,140,555,486,111,31,76,3,61,2,131,0,15,0
後藤 光尊,オリックス,130,553,526,164,8,55,14,17,5,74,0,9,0
Ｔ−岡田,オリックス,134,550,492,128,16,85,4,39,15,116,0,10,0
バルディリス,オリックス,137,544,479,128,18,66,2,38,19,72,3,12,0
今江 敏晃,ロッテ,134,543,499,134,8,51,2,20,8,48,10,13,0
石川 雄洋,横浜,125,530,466,121,0,22,12,30,2,95,32,8,0
小谷野 栄一,日本ハム,129,525,473,112,5,47,1,35,4,90,6,17,0
和田 一浩,中日,131,522,444,103,12,54,6,72,2,64,0,12,0
稲葉 篤紀,日本ハム,137,518,473,124,12,54,4,27,8,71,7,4,0
宮本 慎也,ヤクルト,136,518,474,143,2,35,2,17,6,37,19,14,0
ラミレス,巨人,137,515,477,133,23,73,2,30,3,72,0,9,0
大引 啓次,オリックス,127,501,405,99,1,34,3,52,1,66,42,3,0
浅村 栄斗,西武,137,498,437,117,9,45,7,37,3,52,18,8,0
丸 佳浩,広島,131,495,435,105,9,50,9,44,6,105,9,2,0
伊志嶺 翔大,ロッテ,126,492,422,110,2,21,32,30,13,77,27,3,0
高須 洋介,楽天,128,472,429,119,1,30,5,29,5,39,8,10,0
渡辺 直人,横浜,126,469,403,107,1,24,7,36,11,73,19,13,0
内川 聖一,ソフトバンク,114,463,429,145,12,74,4,25,2,48,0,3,1
相川 亮二,ヤクルト,126,458,409,100,1,33,0,30,4,62,11,13,0
川端 慎吾,ヤクルト,117,457,399,107,4,46,0,40,0,51,15,5,0
ブラゼル,阪神,120,456,422,119,16,69,0,21,7,71,0,15,0
長谷川 勇也,ソフトバンク,125,455,392,115,4,34,13,47,8,87,6,2,0
