選手名,チーム,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,MVP
西岡 剛,ロッテ,144,692,596,206,11,59,22,79,4,96,8,8,0
坂本 勇人,巨人,144,676,609,171,31,85,14,47,3,83,10,6,0
マートン,阪神,144,668,613,214,17,91,11,47,3,70,0,14,0
青木 宣親,ヤクルト,144,667,583,209,14,63,19,63,18,61,0,10,0
川崎 宗則,ソフトバンク,144,662,602,190,4,53,30,43,7,86,10,6,0
田中 賢介,日本ハム,143,662,576,193,5,54,34,72,2,66,7,6,0
栗山 巧,西武,144,660,554,172,4,74,14,80,5,69,18,7,0
梵 英心,広島,144,659,562,172,13,56,43,53,4,80,36,4,0
鳥谷 敬,阪神,144,651,575,173,19,104,13,66,3,93,2,14,0
本多 雄一,ソフトバンク,144,651,564,167,3,39,59,29,5,81,50,8,0
井口 資仁,ロッテ,143,650,531,156,17,103,2,98,14,114,0,13,0
片岡 易之,西武,137,643,576,170,13,54,59,43,5,72,14,9,0
新井 貴浩,阪神,144,641,570,177,19,112,7,52,11,89,0,19,0
内川 聖一,横浜,144,637,577,182,9,66,1,47,6,51,3,17,0
田中 浩康,ヤクルト,140,637,516,155,4,54,4,67,6,48,45,15,0
後藤 光尊,オリックス,143,632,590,174,16,73,2,32,8,96,0,20,0
森野 将彦,中日,144,626,547,179,22,84,2,64,6,77,2,16,0
荒木 雅博,中日,136,625,579,170,3,39,20,38,2,73,5,8,0
坂口 智隆,オリックス,138,622,558,172,5,50,12,52,4,77,7,13,0
村田 修一,横浜,144,617,565,145,26,88,0,45,4,124,0,19,0
小谷野 栄一,日本ハム,144,614,569,177,16,109,8,29,3,87,6,17,0
金 泰均,ロッテ,141,614,527,141,21,92,0,74,4,140,0,24,0
ラミレス,巨人,144,606,566,172,49,129,1,21,12,98,0,14,0
大松 尚逸,ロッテ,142,603,534,139,16,68,0,56,9,99,1,16,0
城島 健司,阪神,144,602,554,168,28,91,9,27,16,53,2,22,0
和田 一浩,中日,144,602,505,171,37,93,5,92,0,77,0,12,1
ブラゼル,阪神,143,601,564,167,47,117,1,25,6,153,0,14,0
山崎 武司,楽天,141,598,540,129,28,93,1,45,7,147,0,10,0
今江 敏晃,ロッテ,140,596,531,176,10,77,8,22,8,66,30,10,0
平野 恵一,阪神,139,593,492,172,1,24,6,34,7,55,59,2,0
小笠原 道大,巨人,137,591,510,157,34,90,1,73,3,101,0,9,0
稲葉 篤紀,日本ハム,137,591,530,152,16,79,3,43,12,86,1,5,0
石川 雄洋,横浜,131,584,521,153,0,18,36,21,3,91,38,6,0
糸井 嘉男,日本ハム,138,583,488,151,15,64,26,71,10,94,13,7,0
中島 裕之,西武,130,579,503,158,20,93,15,52,13,97,0,20,0
聖澤 諒,楽天,135,577,517,150,6,43,24,32,3,96,24,4,0
阿部 慎之助,巨人,140,569,498,140,44,92,0,58,11,91,1,8,0
ブランコ,中日,134,561,493,130,32,86,0,57,9,158,0,13,0
多村 仁志,ソフトバンク,140,559,513,166,27,89,2,33,10,93,0,11,0
鉄平,楽天,127,555,481,153,9,64,13,53,9,57,5,3,0
廣瀬 純,広島,135,546,482,149,12,57,3,36,16,66,8,9,0
スレッジ,横浜,129,533,469,118,28,78,0,60,4,136,0,10,0
中村 紀洋,楽天,129,521,473,126,13,64,0,44,1,84,1,18,0
Ｔ−岡田,オリックス,129,520,461,131,33,96,0,49,6,136,0,11,0
長谷川 勇也,ソフトバンク,134,519,443,113,3,32,14,51,12,97,10,8,0
宮本 慎也,ヤクルト,129,517,468,129,4,39,2,27,3,31,18,10,0
サブロー,ロッテ,125,513,452,118,19,71,2,56,2,118,2,14,0
森本 稀哲,日本ハム,115,505,408,111,2,30,10,36,5,71,55,12,0
カスティーヨ,横浜,131,496,466,127,19,55,3,22,4,71,1,16,0
飯原 誉士,ヤクルト,130,492,430,116,15,48,8,36,19,74,5,10,0
東出 輝裕,広島,108,492,454,121,1,40,10,26,1,55,10,4,0
嶋 基宏,楽天,127,485,422,133,3,43,9,45,0,90,17,15,0
カブレラ,オリックス,112,481,408,135,24,82,1,69,2,91,0,14,0
ブラウン,西武,118,479,424,102,21,76,2,49,2,101,0,11,0
相川 亮二,ヤクルト,120,474,427,125,11,65,2,30,4,70,6,8,0
小久保 裕紀,ソフトバンク,112,469,427,119,15,68,1,34,4,69,1,4,0
下園 辰哉,横浜,131,461,402,115,3,28,1,49,2,82,6,8,0
脇谷 亮太,巨人,132,459,414,113,7,43,28,35,3,80,6,5,0
長野 久義,巨人,128,459,430,124,19,52,12,25,2,72,2,10,0
松田 宣浩,ソフトバンク,113,458,424,108,19,71,17,14,6,90,8,7,0
オーティズ,ソフトバンク,117,457,415,112,24,81,1,31,7,91,1,8,0
栗原 健太,広島,105,450,386,114,15,65,3,51,7,70,0,10,0
