選手名,チーム,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,MVP
山田 哲人,ヤクルト,143,685,596,193,29,89,15,74,8,95,2,10,0
今宮 健太,ソフトバンク,144,662,551,132,3,42,10,41,4,104,62,10,0
菊池 涼介,広島,144,654,579,188,11,58,23,24,3,79,43,9,0
鳥谷 敬,阪神,144,644,550,172,8,73,10,87,2,80,1,14,0
丸 佳浩,広島,144,644,536,166,19,67,26,100,4,95,0,12,0
栗山 巧,西武,144,642,532,153,3,61,3,96,3,100,2,9,0
大島 洋平,中日,141,642,585,186,2,28,28,43,6,56,6,3,0
中村 晃,ソフトバンク,143,638,571,176,4,61,10,59,3,61,3,4,0
西川 遥輝,日本ハム,143,637,555,147,8,57,43,63,3,139,16,1,0
川端 慎吾,ヤクルト,142,637,580,177,10,69,2,43,3,62,8,10,0
李 大浩,ソフトバンク,144,625,566,170,19,68,0,46,10,97,0,18,0
岡島 豪郎,楽天,142,618,545,154,7,53,9,57,4,71,9,7,0
坂本 勇人,巨人,144,616,545,152,16,61,23,55,2,88,9,3,0
ゴメス,阪神,143,616,537,152,26,109,1,67,8,166,0,17,0
柳田 悠岐,ソフトバンク,144,615,524,166,15,70,33,72,16,131,0,8,0
鈴木 大地,ロッテ,144,610,533,153,3,43,7,45,6,57,22,1,0
梶谷 隆幸,DeNA,142,609,525,138,16,72,39,70,7,135,3,12,0
中田 翔,日本ハム,144,602,531,143,27,100,0,58,6,89,0,12,0
安達 了一,オリックス,143,601,486,126,8,50,29,58,8,79,45,8,0
上本 博紀,阪神,131,600,515,142,7,38,20,70,6,97,7,7,0
雄平,ヤクルト,141,597,547,173,23,90,10,48,1,103,1,11,0
ヘルマン,オリックス,141,595,532,133,7,52,30,54,4,95,2,17,0
マートン,阪神,142,591,532,180,14,84,2,46,7,64,0,19,0
糸井 嘉男,オリックス,140,590,502,166,19,81,31,70,14,73,0,7,0
森野 将彦,中日,141,588,507,146,13,86,3,69,1,66,5,20,0
ジョーンズ,楽天,138,581,448,99,24,71,2,118,12,140,0,16,0
藤田 一也,楽天,144,579,517,139,2,36,3,16,3,55,41,12,0
村田 修一,巨人,143,575,519,133,21,68,2,39,13,83,0,22,0
ペーニャ,オリックス,140,572,502,128,32,90,2,59,10,124,0,15,0
秋山 翔吾,西武,131,561,475,123,4,47,3,70,3,98,11,4,0
角中 勝也,ロッテ,133,544,451,125,8,57,9,76,6,66,7,4,0
長谷川 勇也,ソフトバンク,135,541,473,142,6,55,7,54,7,95,0,8,0
陽 岱鋼,日本ハム,125,540,471,138,25,85,20,45,12,108,9,10,0
石川 雄洋,DeNA,138,539,483,120,7,36,9,32,8,98,16,9,0
内川 聖一,ソフトバンク,122,534,488,150,18,74,0,34,5,48,0,5,0
Ｔ−岡田,オリックス,130,533,472,127,24,75,4,37,17,107,5,10,0
ルナ,中日,127,527,467,148,17,73,8,51,5,98,0,11,0
阿部 慎之助,巨人,131,526,459,114,19,57,1,58,7,77,0,16,0
長野 久義,巨人,130,523,472,140,13,62,8,42,3,75,4,8,0
平野 恵一,オリックス,120,517,452,121,1,28,5,37,7,55,19,8,0
大引 啓次,日本ハム,132,512,432,106,5,47,21,51,1,98,26,11,0
バルディリス,DeNA,139,510,451,115,17,52,0,43,11,66,0,20,0
銀次,楽天,117,509,459,150,4,70,1,43,2,45,1,10,0
エルドレッド,広島,118,505,454,118,37,104,2,41,7,169,0,8,0
浅村 栄斗,西武,118,501,440,120,14,55,3,47,6,100,0,8,0
松井 稼頭央,楽天,128,488,444,129,8,46,9,36,1,78,2,9,0
平田 良介,中日,119,488,429,119,11,65,7,54,1,65,0,13,0
片岡 治大,巨人,126,484,429,108,6,32,24,29,3,51,23,14,0
大和,阪神,121,481,398,105,1,24,11,28,4,52,50,7,0
クルーズ,ロッテ,126,478,453,108,16,61,1,18,2,47,0,13,0
今江 敏晃,ロッテ,120,478,445,120,10,54,1,23,5,43,4,13,0
荒木 雅博,中日,109,471,395,106,1,21,17,39,3,63,33,7,0
中村 剛也,西武,111,466,382,98,34,90,0,79,2,124,0,13,0
畠山 和洋,ヤクルト,113,464,422,131,17,79,2,36,2,54,1,17,0
中島 卓也,日本ハム,126,461,382,99,0,32,28,43,0,92,35,4,0
筒香 嘉智,DeNA,114,461,410,123,22,77,2,47,2,100,0,7,0
メヒア,西武,106,450,396,115,34,73,2,45,6,156,0,4,0
バレンティン,ヤクルト,112,446,366,110,31,69,2,75,2,95,0,10,0
