選手名,チーム,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,MVP
田中 広輔,広島,143,679,565,164,8,60,35,89,15,120,6,5,0
桑原 将志,DeNA,143,664,598,161,13,52,10,45,11,116,10,8,0
秋山 翔吾,西武,143,659,575,185,25,89,16,72,5,97,0,4,0
丸 佳浩,広島,143,651,556,171,23,92,13,83,4,113,2,6,1
源田 壮亮,西武,143,647,575,155,3,57,37,36,6,100,26,5,0
浅村 栄斗,西武,143,633,574,167,19,99,5,44,8,96,1,17,0
菊池 涼介,広島,138,629,565,153,14,56,8,32,1,107,30,9,0
山田 哲人,ヤクルト,143,624,526,130,24,78,14,91,6,132,0,15,0
今宮 健太,ソフトバンク,141,623,526,139,14,64,15,38,4,93,52,12,0
西川 遥輝,日本ハム,138,623,541,160,9,44,39,69,4,103,6,6,0
坂本 勇人,巨人,142,614,539,157,15,61,14,68,3,85,1,16,0
坂口 智隆,ヤクルト,136,607,535,155,4,38,4,59,5,76,5,6,0
ロペス,DeNA,142,606,569,171,30,105,0,27,2,80,0,14,0
ウィーラー,楽天,142,605,542,147,31,82,7,50,10,98,0,14,0
京田 陽太,中日,141,602,564,149,4,36,23,18,9,105,10,5,0
筒香 嘉智,DeNA,139,601,503,143,28,94,1,93,2,115,0,7,0
中村 晃,ソフトバンク,143,600,511,138,6,42,3,67,3,57,14,5,0
Ｔ－岡田,オリックス,143,593,504,134,31,68,2,83,5,141,0,10,0
銀次,楽天,143,590,529,155,3,60,2,56,2,74,1,11,0
鈴木 大地,ロッテ,143,588,508,132,11,52,6,55,18,85,3,7,0
マギー,巨人,139,586,523,165,18,77,4,58,1,107,0,20,0
梶谷 隆幸,DeNA,137,578,511,124,21,60,21,62,3,157,0,10,0
松田 宣浩,ソフトバンク,143,577,531,140,24,71,5,43,1,128,0,16,0
島内 宏明,楽天,143,577,494,131,14,47,3,64,4,67,12,8,0
レアード,日本ハム,137,571,503,115,32,90,0,54,7,125,0,18,0
鳥谷 敬,阪神,143,570,488,143,4,41,8,77,2,62,1,13,0
柳田 悠岐,ソフトバンク,130,551,448,139,31,99,14,89,7,123,0,6,0
デスパイネ,ソフトバンク,136,545,478,125,35,103,3,59,5,119,0,14,0
中田 翔,日本ハム,129,542,472,102,16,67,0,61,5,103,0,14,0
倉本 寿彦,DeNA,143,539,507,133,2,50,3,18,4,102,9,10,0
福留 孝介,阪神,127,526,441,116,18,79,1,77,3,92,1,17,0
宮﨑 敏郎,DeNA,128,523,480,155,15,62,0,38,4,47,0,23,0
大島 洋平,中日,119,521,476,149,3,29,23,37,4,66,1,5,0
バレンティン,ヤクルト,125,519,445,113,32,80,0,70,3,112,0,18,0
ペゲーロ,楽天,120,517,463,130,26,75,3,50,4,139,0,16,0
長野 久義,巨人,134,516,463,121,16,46,6,46,5,98,1,17,0
阿部 慎之助,巨人,129,512,455,119,15,76,0,41,8,67,1,13,0
鈴木 誠也,広島,115,512,437,131,26,90,16,62,6,80,0,12,0
ゲレーロ,中日,130,510,469,131,35,86,1,24,15,98,0,13,0
小谷野 栄一,オリックス,130,506,470,130,6,47,0,28,3,60,3,13,0
糸井 嘉男,阪神,114,493,427,124,17,62,21,59,5,62,0,12,0
外崎 修汰,西武,135,489,438,113,10,48,23,33,5,109,10,4,0
中島 宏之,オリックス,124,489,431,123,9,49,0,46,7,93,0,11,0
上本 博紀,阪神,125,488,409,116,9,38,16,50,4,71,23,7,0
中村 悠平,ヤクルト,127,486,419,102,4,34,2,42,10,65,11,14,0
中村 剛也,西武,115,486,415,90,27,79,1,61,4,118,0,12,0
アマダー,楽天,121,460,417,99,23,65,0,39,2,102,0,18,0
大田 泰示,日本ハム,118,457,427,110,15,46,5,28,0,88,0,14,0
中谷 将大,阪神,133,455,411,99,20,61,2,36,5,96,0,5,0
安部 友裕,広島,123,455,413,128,4,49,17,27,2,94,12,3,0
上林 誠知,ソフトバンク,134,453,415,108,13,51,12,24,2,96,10,3,0
角中 勝也,ロッテ,110,452,383,103,8,44,6,62,4,44,1,6,0
茂木 栄五郎,楽天,103,450,398,118,17,47,3,45,2,84,4,4,0
松本 剛,日本ハム,115,448,402,110,5,33,6,21,3,61,21,7,0
小林 誠司,巨人,138,443,378,78,2,27,2,41,2,64,19,12,0
