選手名,チーム,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,MVP
秋山 翔吾,西武,143,678,590,179,20,62,12,78,9,108,0,8,0
西川 遥輝,日本ハム,142,651,548,158,5,41,19,93,2,111,8,5,0
茂木 栄五郎,楽天,141,648,568,160,13,55,7,66,3,121,9,7,0
山田 哲人,ヤクルト,142,641,520,141,35,98,33,110,6,121,0,14,0
近本 光司,阪神,142,640,586,159,9,42,36,31,6,110,14,2,0
坂本 勇人,巨人,143,639,555,173,40,94,5,77,2,123,3,9,1
浅村 栄斗,楽天,143,635,529,139,33,92,1,93,4,162,0,12,0
丸 佳浩,巨人,143,631,535,156,27,89,12,86,3,125,0,15,0
岡本 和真,巨人,143,628,555,147,31,94,3,62,6,132,2,15,0
山川 穂高,西武,143,626,524,134,43,120,1,86,13,142,0,13,0
大島 洋平,中日,143,623,558,174,3,45,30,50,9,78,3,5,0
外崎 修汰,西武,143,621,533,146,26,90,22,63,5,132,14,9,0
菊池 涼介,広島,138,619,547,143,13,48,14,41,1,102,28,5,0
鈴木 大地,ロッテ,140,614,527,152,15,68,3,56,16,75,13,11,0
鈴木 誠也,広島,140,612,499,167,28,87,25,103,7,81,0,3,0
吉田 正尚,オリックス,143,610,521,168,29,85,5,79,5,64,0,12,0
源田 壮亮,西武,135,609,540,148,2,41,30,40,1,67,25,9,0
近藤 健介,日本ハム,138,600,490,148,2,59,1,103,2,81,0,11,0
ロペス,DeNA,142,597,551,133,31,84,0,39,4,107,0,18,0
ビシエド,中日,143,594,534,168,18,93,2,41,13,88,0,22,0
大田 泰示,日本ハム,132,594,557,161,20,77,6,27,5,111,0,22,0
村上 宗隆,ヤクルト,143,593,511,118,36,96,5,74,5,184,0,9,0
銀次,楽天,141,590,529,161,5,56,2,52,4,58,4,19,0
大山 悠輔,阪神,143,587,538,139,14,76,3,39,5,98,1,12,0
中村 奨吾,ロッテ,143,586,512,119,17,59,12,53,12,96,6,10,0
西川 龍馬,広島,138,585,535,159,16,64,6,32,2,81,11,9,0
島内 宏明,楽天,133,585,506,145,10,57,3,58,11,65,9,11,0
ソト,DeNA,141,584,516,139,43,108,0,59,5,98,0,14,0
福田 周平,オリックス,135,583,492,123,2,38,30,62,8,57,19,7,0
松田 宣浩,ソフトバンク,143,576,534,139,30,76,5,33,3,115,2,14,0
京田 陽太,中日,140,574,507,126,3,40,17,37,3,91,24,10,0
森 友哉,西武,135,573,492,162,23,105,3,72,2,89,1,9,1
糸原 健斗,阪神,143,572,491,131,2,45,6,60,7,70,11,7,0
荻野 貴司,ロッテ,125,569,508,160,10,46,28,40,8,56,9,4,0
青木 宣親,ヤクルト,134,565,489,145,16,58,1,61,11,72,1,13,0
中村 剛也,西武,135,557,496,142,30,123,2,54,4,123,0,12,0
筒香 嘉智,DeNA,131,557,464,126,29,79,0,88,2,141,0,5,0
レアード,ロッテ,139,553,487,121,32,89,0,55,8,128,0,18,0
渡邉 諒,日本ハム,132,543,481,126,11,58,0,48,6,120,3,8,0
内川 聖一,ソフトバンク,137,535,500,128,12,41,3,28,2,49,1,16,0
ブラッシュ,楽天,128,527,426,111,33,95,2,81,17,157,0,7,0
金子 侑司,西武,133,524,463,116,3,33,41,49,3,81,6,3,0
デスパイネ,ソフトバンク,130,519,448,116,36,88,0,63,5,119,0,6,0
中田 翔,日本ハム,124,514,450,109,24,80,0,55,5,83,0,16,0
井上 晴哉,ロッテ,129,509,429,108,24,65,0,67,9,98,0,10,0
亀井 善行,巨人,131,503,450,128,13,55,9,45,0,91,3,6,0
雄平,ヤクルト,131,493,447,122,12,56,4,37,2,71,1,4,0
梅野 隆太郎,阪神,129,492,433,115,9,59,14,34,6,83,16,16,0
大和,DeNA,137,490,438,104,0,37,3,34,6,75,10,7,0
阿部 寿樹,中日,129,484,447,130,7,59,1,31,1,82,3,9,0
宮﨑 敏郎,DeNA,114,473,433,123,15,49,0,32,3,35,0,13,0
ウィーラー,楽天,117,472,411,100,19,67,3,43,8,96,0,22,0
高橋 周平,中日,117,471,430,126,7,59,3,32,3,70,5,10,0
バレンティン,ヤクルト,120,468,410,115,33,93,0,54,1,117,0,11,0
栗山 巧,西武,123,466,409,103,7,54,0,48,3,100,3,13,0
神里 和毅,DeNA,123,458,427,119,6,35,15,26,2,121,3,7,0
甲斐 拓也,ソフトバンク,137,454,377,98,11,43,9,50,1,114,23,9,0
中村 悠平,ヤクルト,126,450,372,100,5,36,1,53,10,64,13,11,0
會澤 翼,広島,126,447,376,104,12,63,2,58,10,81,3,6,0
糸井 嘉男,阪神,103,444,382,120,5,42,9,52,7,63,0,10,0
