選手名,チーム,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,MVP
秋山 翔吾,西武,143,685,603,195,24,82,15,77,4,96,0,3,0
田中 広輔,広島,143,675,572,150,10,60,32,75,17,118,6,6,0
源田 壮亮,西武,143,666,594,165,4,57,34,48,4,101,14,7,0
山川 穂高,西武,143,647,541,152,47,124,0,88,16,138,0,5,1
大島 洋平,中日,141,645,588,161,7,57,21,47,4,80,1,2,0
菊池 涼介,広島,139,642,557,130,13,60,10,51,3,111,30,5,0
浅村 栄斗,西武,143,640,565,175,32,127,4,68,2,105,0,18,0
中村 奨吾,ロッテ,143,639,552,157,8,57,39,60,22,94,0,11,0
糸原 健斗,阪神,143,637,531,152,1,35,6,86,7,73,9,5,0
山田 哲人,ヤクルト,140,637,524,165,34,89,33,106,4,119,0,8,0
西川 遥輝,日本ハム,140,636,528,147,10,48,44,96,3,103,7,1,0
京田 陽太,中日,143,632,578,136,4,44,20,19,6,111,26,12,0
岡本 和真,巨人,143,616,540,167,33,100,2,72,4,120,0,11,0
藤岡 裕大,ロッテ,143,611,535,123,5,42,14,44,5,97,26,9,0
上林 誠知,ソフトバンク,143,608,551,149,22,62,13,30,7,117,17,2,0
バレンティン,ヤクルト,142,602,514,138,38,131,1,85,0,121,0,15,0
中田 翔,日本ハム,140,599,540,143,25,106,0,43,3,81,0,24,0
吉田 正尚,オリックス,143,598,514,165,26,86,3,69,7,74,0,9,0
坂口 智隆,ヤクルト,139,595,508,161,3,37,9,75,3,60,7,15,0
宮﨑 敏郎,DeNA,142,590,551,175,28,71,0,38,1,45,0,16,0
ビシエド,中日,135,582,512,178,26,99,3,51,15,61,0,24,0
松田 宣浩,ソフトバンク,143,580,517,128,32,82,3,56,4,113,0,12,0
筒香 嘉智,DeNA,139,580,495,146,38,89,0,80,2,107,0,10,0
中村 晃,ソフトバンク,136,580,506,148,14,57,1,60,5,68,3,5,0
平田 良介,中日,138,568,493,162,9,55,8,67,3,69,2,7,0
青木 宣親,ヤクルト,127,567,495,162,10,67,3,51,19,48,0,13,0
丸 佳浩,広島,125,566,432,132,39,97,10,130,3,130,0,5,1
鈴木 大地,ロッテ,143,558,477,127,8,49,8,44,17,55,14,11,0
近藤 健介,日本ハム,129,555,462,149,9,69,5,87,1,90,0,16,0
銀次,楽天,139,552,492,136,5,48,1,48,4,47,6,7,0
森 友哉,西武,136,552,473,130,16,80,7,70,2,105,0,3,0
西浦 直亨,ヤクルト,138,550,479,116,10,55,1,40,8,88,20,10,0
柳田 悠岐,ソフトバンク,130,550,475,167,36,102,21,62,8,105,0,8,0
井上 晴哉,ロッテ,133,548,476,139,24,99,1,63,3,106,0,7,0
マギー,巨人,132,547,499,142,21,84,2,41,1,92,0,12,0
アルモンテ,中日,132,546,498,160,15,77,1,44,1,95,0,16,0
鈴木 誠也,広島,124,520,422,135,30,94,4,88,5,116,0,4,0
安達 了一,オリックス,140,514,465,102,3,41,20,25,3,64,16,8,0
外崎 修汰,西武,119,510,453,130,18,67,25,47,3,102,6,9,0
糸井 嘉男,阪神,119,509,419,129,16,68,22,77,8,63,0,9,0
レアード,日本ハム,120,505,450,105,26,65,0,44,7,124,0,10,0
坂本 勇人,巨人,109,502,441,152,18,67,9,61,0,83,0,4,0
ロメロ,オリックス,119,501,443,105,25,63,7,42,10,114,0,10,0
福留 孝介,阪神,123,499,414,116,14,72,2,73,5,90,0,10,0
福田 永将,中日,133,487,440,115,13,63,0,37,5,119,0,13,0
雄平,ヤクルト,125,482,446,142,11,67,6,33,1,62,0,13,0
高橋 周平,中日,128,477,433,110,11,69,0,30,3,89,8,9,0
田村 龍弘,ロッテ,143,476,415,99,3,35,3,40,3,68,16,13,0
角中 勝也,ロッテ,112,470,411,109,7,57,3,48,5,63,0,9,0
デスパイネ,ソフトバンク,116,469,407,97,29,74,0,55,4,93,0,13,0
今江 年晶,楽天,127,465,421,116,10,49,0,32,7,76,0,19,0
田中 和基,楽天,105,465,423,112,18,45,21,37,0,101,4,4,0
亀井 善行,巨人,123,461,422,107,13,49,4,36,2,70,0,6,0
ロペス,DeNA,110,459,441,127,26,77,0,16,1,58,0,12,0
ソト,DeNA,107,459,416,129,41,95,0,29,9,100,0,5,0
梅野 隆太郎,阪神,132,455,386,100,8,47,5,39,1,67,28,6,0
島内 宏明,楽天,103,453,394,115,11,53,11,47,6,45,3,10,0
中島 卓也,日本ハム,132,449,391,102,1,23,29,35,0,88,22,4,0
野間 峻祥,広島,126,447,405,116,5,46,17,30,6,69,4,2,0
松山 竜平,広島,124,446,397,120,12,74,2,42,2,46,0,10,0
