選手名,チーム,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,MVP
長野 久義,巨人,144,653,574,173,14,60,20,75,1,100,2,5,0
大島 洋平,中日,144,631,555,172,1,13,32,46,13,80,17,7,0
鳥谷 敬,阪神,144,624,515,135,8,59,15,94,2,91,5,12,0
坂本 勇人,巨人,144,619,557,173,14,69,16,39,6,90,12,5,0
中田 翔,日本ハム,144,606,547,131,24,77,5,50,5,101,0,8,0
李 大浩,オリックス,144,601,525,150,24,91,0,64,7,85,0,18,0
陽 岱鋼,日本ハム,144,599,533,153,7,55,17,37,6,123,18,10,0
糸井 嘉男,日本ハム,134,597,510,155,9,48,22,75,11,86,0,9,0
聖澤 諒,楽天,138,595,523,141,4,45,54,49,7,104,12,4,0
田中 浩康,ヤクルト,139,593,486,133,2,40,1,54,9,60,40,15,0
和田 一浩,中日,144,586,508,145,9,63,2,71,1,72,0,14,0
根元 俊一,ロッテ,133,584,512,143,9,41,6,31,1,98,40,7,0
ヘルマン,西武,144,583,507,137,3,60,41,57,4,75,10,20,0
井口 資仁,ロッテ,140,578,505,129,11,60,3,53,16,99,0,11,0
村田 修一,巨人,144,575,516,130,12,58,1,36,15,85,2,16,0
梵 英心,広島,137,575,499,122,10,52,14,50,1,70,19,7,0
バルディリス,オリックス,143,574,503,133,10,55,1,54,14,76,0,13,0
荒木 雅博,中日,129,569,510,128,3,31,12,19,2,65,36,4,0
内川 聖一,ソフトバンク,138,567,523,157,7,53,6,31,6,36,0,12,0
中島 裕之,西武,136,567,499,155,13,74,7,52,9,76,1,10,0
明石 健志,ソフトバンク,135,567,508,129,1,27,25,33,2,98,23,2,0
サブロー,ロッテ,137,560,476,114,7,52,0,78,2,105,0,12,0
阿部 慎之助,巨人,138,556,467,159,27,104,0,69,9,47,2,11,1
堂林 翔太,広島,144,554,488,118,14,45,5,44,14,150,5,8,0
井端 弘和,中日,140,553,489,139,2,35,4,52,3,58,8,14,0
荒波 翔,DeNA,141,550,504,135,1,25,24,23,5,90,16,2,0
小谷野 栄一,日本ハム,134,550,478,109,3,39,6,27,4,72,40,8,0
後藤 光尊,オリックス,131,546,520,126,4,43,3,14,5,74,1,8,0
ミレッジ,ヤクルト,125,546,476,143,21,65,9,57,6,79,3,11,0
本多 雄一,ソフトバンク,123,536,480,118,0,31,34,37,1,65,14,6,0
角中 勝也,ロッテ,128,525,477,149,3,61,8,38,5,68,1,9,0
平野 恵一,阪神,134,519,458,112,1,24,6,42,4,61,15,4,0
ペーニャ,ソフトバンク,130,507,461,129,21,76,2,35,8,130,0,11,0
川端 慎吾,ヤクルト,125,507,453,135,4,49,3,35,2,56,13,7,0
田中 賢介,日本ハム,114,505,457,137,3,32,13,35,2,36,8,2,0
ラミレス,DeNA,137,504,476,143,19,76,0,18,7,60,0,18,0
今江 敏晃,ロッテ,136,501,446,113,6,47,0,19,5,37,23,15,0
中村 紀洋,DeNA,126,500,442,121,11,61,1,50,2,72,0,14,0
中村 剛也,西武,123,498,432,100,27,79,2,56,9,125,0,11,0
稲葉 篤紀,日本ハム,127,497,449,130,10,61,0,32,5,70,8,3,0
畠山 和洋,ヤクルト,121,497,455,121,13,55,2,37,2,64,1,13,0
森野 将彦,中日,124,494,434,108,6,50,1,49,3,68,4,13,0
新井 貴浩,阪神,122,493,460,115,9,52,1,30,1,85,0,12,0
フェルナンデス,楽天,129,489,440,107,3,51,2,44,2,67,0,11,0
銀次,楽天,126,485,432,121,4,45,8,22,4,37,23,4,0
川端 崇義,オリックス,125,484,429,114,2,27,6,22,9,59,24,8,0
岡田 幸文,ロッテ,131,482,431,113,0,18,23,18,6,47,25,4,0
長谷川 勇也,ソフトバンク,126,473,403,112,4,37,16,40,9,87,16,4,0
マートン,阪神,121,473,453,118,5,38,2,18,1,56,0,14,0
栗山 巧,西武,103,467,394,114,2,33,3,52,6,62,12,4,0
浅村 栄斗,西武,114,459,404,99,7,37,13,34,4,63,13,9,0
谷繁 元信,中日,134,458,386,88,5,32,0,52,4,67,14,15,0
秋山 翔吾,西武,107,450,403,118,4,37,10,28,3,70,15,7,0
筒香 嘉智,DeNA,108,446,386,84,10,45,1,51,2,102,2,4,0
