選手名,チーム,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,MVP
秋山 翔吾,西武,143,675,602,216,14,55,17,60,4,78,7,6,0
鳥谷 敬,阪神,143,646,551,155,6,42,9,89,1,77,2,8,0
山田 哲人,ヤクルト,143,646,557,183,38,100,34,81,5,111,0,11,1
菊池 涼介,広島,143,644,562,143,8,32,19,29,2,92,49,7,0
丸 佳浩,広島,143,633,530,132,19,63,15,94,1,143,4,4,0
川端 慎吾,ヤクルト,143,632,581,195,8,57,4,43,3,72,2,15,0
浅村 栄斗,西武,141,627,537,145,13,81,12,69,12,136,2,13,0
栗山 巧,西武,142,622,533,143,10,42,3,72,5,88,8,15,0
大島 洋平,中日,142,620,565,147,6,27,22,39,5,65,10,5,0
中島 卓也,日本ハム,143,617,515,136,0,39,34,66,2,93,34,10,0
中田 翔,日本ハム,143,611,539,142,30,102,1,64,1,120,0,11,0
柳田 悠岐,ソフトバンク,138,605,502,182,34,99,32,88,14,101,0,9,1
松田 宣浩,ソフトバンク,143,603,533,153,35,94,8,60,2,135,0,17,0
ゴメス,阪神,143,601,520,141,17,72,0,72,6,134,0,15,0
中村 剛也,西武,139,599,521,145,37,124,1,68,7,172,0,12,0
田中 賢介,日本ハム,134,596,532,151,4,66,9,57,1,58,5,9,0
安達 了一,オリックス,139,593,506,121,11,55,16,48,6,68,29,11,0
田中 広輔,広島,141,590,543,149,8,45,6,34,7,105,5,8,0
中村 晃,ソフトバンク,135,590,506,152,1,39,7,66,6,47,9,7,0
雄平,ヤクルト,141,585,551,149,8,60,7,27,3,82,1,7,0
内川 聖一,ソフトバンク,136,585,529,150,11,82,1,45,4,55,0,24,0
李 大浩,ソフトバンク,141,584,510,144,31,98,0,62,9,109,0,17,0
畠山 和洋,ヤクルト,137,584,512,137,26,105,0,62,2,92,0,10,0
マートン,阪神,140,583,544,150,9,59,0,31,3,77,0,21,0
梶谷 隆幸,DeNA,134,578,520,143,13,66,28,54,0,132,2,4,0
福留 孝介,阪神,140,569,495,139,20,76,1,65,1,75,1,15,0
筒香 嘉智,DeNA,138,568,496,157,24,93,0,68,2,98,0,5,0
ロペス,DeNA,140,565,516,150,25,73,1,44,2,82,0,14,0
糸井 嘉男,オリックス,132,565,484,127,17,68,11,72,8,78,0,10,0
鈴木 大地,ロッテ,142,564,487,128,6,50,1,47,3,58,24,10,0
ルナ,中日,134,564,496,145,8,60,11,57,5,77,0,13,0
平田 良介,中日,130,559,491,139,13,53,11,64,3,86,1,5,0
坂本 勇人,巨人,130,558,479,129,12,68,10,65,0,79,9,5,0
レアード,日本ハム,143,554,498,115,34,97,1,43,9,129,0,18,0
エルナンデス,中日,138,548,498,135,11,58,5,35,0,106,10,13,0
清田 育宏,ロッテ,130,548,489,155,15,67,10,54,3,93,0,11,0
クルーズ,ロッテ,133,532,501,128,16,73,0,24,2,66,0,7,0
森 友哉,西武,138,531,474,136,17,68,0,44,9,143,0,5,0
今宮 健太,ソフトバンク,142,530,457,104,7,45,3,34,0,83,35,13,0
バルディリス,DeNA,139,525,465,120,13,56,0,43,12,62,0,12,0
メヒア,西武,135,525,473,111,27,89,0,45,5,153,0,14,0
西川 遥輝,日本ハム,125,521,442,122,5,35,30,60,4,98,15,1,0
近藤 健介,日本ハム,129,504,435,142,8,60,6,59,2,59,3,9,0
中村 悠平,ヤクルト,136,502,442,102,2,33,3,40,4,80,14,9,0
松井 稼頭央,楽天,126,501,445,114,10,48,14,43,3,82,7,7,0
ペーニャ,楽天,125,492,406,109,17,40,1,70,16,111,0,5,0
角中 勝也,ロッテ,111,484,427,125,6,52,8,47,1,52,7,12,0
中島 裕之,オリックス,117,483,417,100,10,46,1,53,12,93,0,10,0
新井 貴浩,広島,125,480,426,117,7,57,3,48,2,73,0,15,0
長野 久義,巨人,130,479,434,109,15,52,3,34,4,81,5,12,0
上本 博紀,阪神,108,452,375,95,4,31,19,44,4,69,29,1,0
藤田 一也,楽天,111,451,392,106,5,43,8,28,8,30,16,3,0
後藤 光尊,楽天,117,444,413,98,9,42,13,12,5,48,10,8,0
炭谷 銀仁朗,西武,133,443,399,84,4,35,0,16,4,87,22,7,0
