選手名,チーム,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,MVP
田中 賢介,日本ハム,144,680,575,163,3,49,31,79,5,105,17,0,0
井端 弘和,中日,144,657,569,174,5,39,13,72,6,66,8,13,0
中島 裕之,西武,144,648,560,173,22,92,20,75,10,113,0,17,0
片岡 易之,西武,139,646,588,153,13,58,51,36,7,72,12,8,0
栗山 巧,西武,140,643,569,152,12,57,18,53,10,106,8,9,0
川崎 宗則,ソフトバンク,143,640,540,140,4,34,44,47,7,90,43,8,0
坂本 勇人,巨人,141,640,581,178,18,62,5,44,4,101,7,8,0
森野 将彦,中日,144,632,546,158,23,109,4,72,8,95,1,12,0
荒木 雅博,中日,140,631,582,157,2,38,37,25,4,70,19,14,0
東出 輝裕,広島,142,625,558,164,0,26,14,44,1,39,19,5,0
青木 宣親,ヤクルト,142,624,531,161,16,66,18,75,13,65,1,9,0
本多 雄一,ソフトバンク,137,622,554,145,1,41,43,44,4,95,18,5,0
金本 知憲,阪神,144,619,518,135,21,91,8,88,5,98,0,7,0
鳥谷 敬,阪神,144,617,538,155,20,75,7,65,5,83,5,13,0
ブランコ,中日,144,615,549,151,39,110,1,48,14,157,0,17,0
山崎 武司,楽天,142,611,536,132,39,107,3,67,4,114,0,23,0
ラミレス,巨人,144,608,577,186,31,103,4,21,4,88,0,12,1
小久保 裕紀,ソフトバンク,144,605,533,142,18,81,2,50,16,101,0,13,0
新井 貴浩,阪神,144,599,558,145,15,82,4,28,6,82,0,20,0
坂口 智隆,オリックス,137,594,526,167,5,50,16,52,4,81,8,8,0
和田 一浩,中日,144,592,517,156,29,87,5,68,2,56,0,16,0
吉村 裕基,横浜,144,588,528,131,16,54,13,45,11,134,0,17,0
稲葉 篤紀,日本ハム,135,587,500,150,17,85,5,65,14,96,2,4,0
長谷川 勇也,ソフトバンク,143,584,509,159,7,44,10,57,6,89,11,7,0
栗原 健太,広島,140,582,521,134,23,79,1,48,7,82,0,11,0
小谷野 栄一,日本ハム,138,581,530,157,11,82,7,27,6,95,16,21,0
小笠原 道大,巨人,139,580,514,159,31,107,2,60,4,107,0,8,0
鉄平,楽天,132,565,496,162,12,76,13,47,9,76,8,4,0
中村 剛也,西武,128,562,501,143,48,122,3,52,7,154,0,8,0
高橋 信二,日本ハム,134,558,508,157,8,75,7,35,5,78,7,16,0
Ｇ．Ｇ．佐藤,西武,136,556,502,146,25,83,1,43,9,121,1,20,0
大松 尚逸,ロッテ,139,553,494,133,19,79,0,47,4,80,2,11,0
内川 聖一,横浜,132,552,503,160,17,66,1,42,1,56,2,16,0
亀井 義行,巨人,134,547,490,142,25,71,12,45,5,74,4,7,0
渡辺 直人,楽天,125,547,463,128,1,28,26,55,7,69,19,13,0
福地 寿樹,ヤクルト,137,543,504,136,5,34,42,27,4,86,5,4,0
西岡 剛,ロッテ,120,531,454,118,14,41,26,67,5,76,3,6,0
井口 資仁,ロッテ,123,530,448,126,19,65,4,68,13,101,0,11,0
松中 信彦,ソフトバンク,126,521,448,125,23,80,2,62,8,77,0,11,0
田上 秀則,ソフトバンク,138,520,463,116,26,80,0,29,5,122,18,12,0
田中 浩康,ヤクルト,130,514,434,112,4,35,6,34,4,50,38,10,0
草野 大輔,楽天,122,511,462,141,7,54,3,27,17,60,3,15,0
金子 誠,日本ハム,136,510,454,138,14,66,6,27,3,88,22,8,0
宮本 慎也,ヤクルト,128,505,469,138,5,46,3,16,4,58,12,6,0
糸井 嘉男,日本ハム,131,496,425,130,15,58,24,46,6,93,18,6,0
石川 雄洋,横浜,134,495,463,112,2,24,19,13,3,98,15,8,0
赤松 真人,広島,137,489,423,98,6,43,14,33,3,79,25,3,0
サブロー,ロッテ,119,489,427,134,22,68,4,48,1,121,4,7,0
スレッジ,日本ハム,117,487,418,111,27,88,1,58,6,108,0,12,0
川島 慶三,ヤクルト,118,485,427,109,12,43,8,32,6,77,17,9,0
ガイエル,ヤクルト,128,482,409,109,27,80,2,53,15,101,0,6,0
里崎 智也,ロッテ,124,479,414,97,10,49,0,49,6,121,5,7,0
平野 恵一,阪神,132,462,404,109,0,18,3,22,7,53,28,5,0
阿部 慎之助,巨人,123,462,409,120,32,76,1,34,10,87,2,9,0
大村 直之,オリックス,119,462,419,122,0,30,5,18,6,35,14,10,0
関本 賢太郎,阪神,113,462,377,102,3,44,3,36,13,56,34,7,0
福浦 和也,ロッテ,129,460,396,108,6,39,1,46,4,65,11,8,0
オーティズ,ソフトバンク,109,458,411,116,20,74,2,36,3,81,0,8,0
フェルナンデス,オリックス,117,447,410,107,15,47,4,31,4,71,0,15,0
マクレーン,広島,114,447,401,98,18,52,1,43,2,107,0,8,0
相川 亮二,ヤクルト,122,446,413,102,5,43,2,23,1,69,6,14,0
